Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,075",DR,PT,878,,$1.84 ,,0.01 ,,$187.22 ,,1.1 ,,$168.05 ,,$18.08 ,,,"$4,385,958 ",,"$399,747,333 ",,"2,378,705 ",,"2,135,142 ",,"22,109,054 ",,"23,722,953 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,075",HR,DO,"5,410",,$1.35 ,,0.35 ,,$274.30 ,,71.5 ,,$3.83 ,,$0.89 ,,,"$1,773,543,424 ",,"$5,027,256,304 ",,"1,311,224,575 ",,"18,327,790 ",,"5,668,693,486 ",,"331,253,516 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,075",CB,DO,433,,$8.93 ,,0.19 ,,$408.96 ,,8.7 ,,$47.14 ,,$3.09 ,,,"$44,545,403 ",,"$235,015,035 ",,"4,985,670 ",,"574,667 ",,"75,937,842 ",,"9,122,901 ",,No,,2,1,2,1,2
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,075",MB,DO,"3,223",,$1.29 ,,0.18 ,,$236.90 ,,33.8 ,,$7.00 ,,$2.97 ,,,"$508,641,029 ",,"$2,752,149,757 ",,"393,017,794 ",,"11,617,289 ",,"925,195,468 ",,"80,849,156 ",,No,,,,,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,075",RB,DO,131,,$1.18 ,,0.18 ,,$236.11 ,,35.5 ,,$6.66 ,,$3.33 ,,,"$18,641,593 ",,"$105,138,303 ",,"15,797,525 ",,"445,287 ",,"31,595,037 ",,"2,912,306 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",CR,DO,897,,$6.63 ,,0.11 ,,$666.73 ,,11.2 ,,$59.42 ,,$2.14 ,,,"$126,520,842 ",,"$1,134,741,219 ",,"19,096,916 ",,"1,701,950 ",,"529,338,529 ",,"56,469,325 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",LR,PT,42,,$0.66 ,,0.06 ,,$723.30 ,,61.0 ,,$11.86 ,,$2.85 ,,,"$5,117,302 ",,"$91,910,871 ",,"7,748,884 ",,"127,071 ",,"32,256,534 ",,"2,112,863 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",DR,PT,334,,$1.84 ,,0.02 ,,$127.49 ,,1.4 ,,$88.20 ,,$14.12 ,,,"$1,984,186 ",,"$94,923,965 ",,"1,076,206 ",,"744,532 ",,"6,722,623 ",,"11,382,902 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",MB,DO,"1,894",,$2.24 ,,0.17 ,,$198.40 ,,14.7 ,,$13.54 ,,$1.93 ,,,"$159,484,304 ",,"$965,594,632 ",,"71,309,971 ",,"4,866,930 ",,"501,249,932 ",,"72,294,493 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",MB,PT,182,,$0.75 ,,0.07 ,,$112.61 ,,10.2 ,,$10.99 ,,$2.46 ,,,"$4,634,424 ",,"$68,054,290 ",,"6,194,036 ",,"604,354 ",,"27,712,032 ",,"7,259,967 ",,No,,,,,,
