"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","DR","Demand Response","PT","366","0.8569",,"0.0093",,"146.6355",,"1.5931",,"92.0469",,"12.7969",,"895813",,"96222648",,"1045365",,"656203",,"7519226",,"7835166",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","DR","Demand Response","TX","79","0.8226",,"0.0166",,"100.6053",,"2.0266",,"49.6425",,"3.9265",,"91758",,"5537616",,"111550",,"55043",,"1410322",,"1293595",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","FB","Ferryboat","DO","2","3.9551",,"0.174",,"1641.0916",,"72.1987",,"22.7302",,"5.5717",,"1767303",,"10156716",,"446838",,"6189",,"1822924",,"63622",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","MB","Bus","DO","739","0.8774",,"0.083",,"256.2034",,"24.2289",,"10.5743",,"2.808",,"63442766",,"764572298",,"72304880",,"2984239",,"272281442",,"30848533",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","MB","Bus","PT","58","0.4976",,"0.021",,"205.3714",,"8.6508",,"23.7402",,"5.8932",,"405215",,"19334279",,"814412",,"94143",,"3280754",,"1163529",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","SR","Streetcar Rail","DO","10","0.4629",,"0.0465",,"404.6544",,"40.6704",,"9.9496",,"9.0049",,"690874",,"14848388",,"1492360",,"36694",,"1648929",,"174111",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","TB","Trolleybus","DO","107","0.8774",,"0.1101",,"246.0367",,"30.8685",,"7.9705",,"4.4014",,"9674187",,"87878908",,"11025543",,"357178",,"19966001",,"2370600",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","VP","Vanpool","DO","991","6.0662",,"0.7843",,"42.1746",,"5.4529",,"7.7343",,"0.3591",,"8479048",,"10810784",,"1397763",,"256334",,"30103203",,"7898463",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","DR","Demand Response","DO","54","2.2375",,"0.031",,"183.0505",,"2.5363",,"72.171",,"8.6608",,"457439",,"14754788",,"204442",,"80605",,"1703622",,"1252409",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","DR","Demand Response","PT","38","0.324",,"0.0076",,"97.7609",,"2.2928",,"42.6373",,"5.0729",,"60433",,"7952460",,"186514",,"81346",,"1567640",,"1232917",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","MB","Bus","DO","135","0.6732",,"0.0721",,"181.1769",,"19.4003",,"9.3389",,"2.0986",,"6844290",,"94947373",,"10166876",,"524059",,"45243855",,"7146245",
