ntd_id,service_area_sq_miles,service_area_pop
00036,,
10098,4315,228910
20190,776,3658455
20220,7,100344
31029,525,122822
40160,46,35159
41004,,
50029,442,103856
50092,70,128191
50239,,
50274,,
50291,,
50558,400,500000
55363,,
55651,,
55674,,
60272,,
66206,,
70067,,
77075,,
80159,,
80223,,
90018,,
90312,,
70060,,
31006,,
40903,,
00285,,
70112,,
55368,,
41095,,
91122,9189,1080300
90148,327,344288
50559,17,14340
11168,,
50456,,
80211,,
40173,2287,1664637
60014,67,181860
50260,63,200169
55432,,
66274,,
50347,,
30571,,
90088,45,138000
41080,1588,419510
50420,,
20006,13,33275
90311,730,151128
00386,,
A0002,,
55603,,
50017,274,559062
44984,,
70226,,
70244,,
40103,2972,253798
77082,,
00323,,
77076,,
66331,,
70008,78,158890
50403,,
60226,,
55333,,
91047,,
66000,,
55536,,
60202,878,753363
70193,,
22929,,
50530,4,12000
41186,,
11161,,
55444,,
99467,,
50098,20,32075
40222,861,1072203
40926,,
10179,25,42312
30209,19,19163
41089,,
09R03,,
80228,,
60051,846,339048
40904,,
09R01,,
55637,,
50231,,
91064,,
90034,59,248267
30010,324,533100
55657,,
80288,,
80178,,
80261,,
41158,,
40994,,
60185,725,159990
20978,,
88297,,
06R03,,
88280,,
40968,,
00001,2134,2347800
50006,27,112100
70275,252,777341
40129,231,186847
30079,242,113716
31032,,
55595,,
50205,26,60206
60147,,
60138,10115,295718
00309,,
50519,139,318108
70211,,
50524,101,259680
41192,,
55395,,
22932,,
70179,,
80011,54,170376
55663,,
66164,,
55517,,
20195,322,302294
41012,,
00427,,
50040,146,275473
30019,830,3511062
44974,,
70247,,
88122,4400,34044
30119,,
40105,892,2478905
60104,81,80650
41048,,
70122,,
66339,121697,2117522
50569,7,1500
50342,818,233398
00345,,
66322,,
31049,,
40051,62,80218
50199,443,231636
60017,283,783134
04R01,,
10056,133,281327
70145,,
90131,36,159329
41140,,
91100,,
50487,,
90168,43,162674
80280,,
80114,,
80131,,
A0027,,
60269,23,71569
50390,,
91043,,
55584,,
90208,186,165947
55317,,
41034,,
88213,,
90029,466,1556579
50337,,
50361,,
10143,,
50542,25,86003
60125,67,173490
70177,,
40071,68,143441
41146,,
90225,127,345375
50514,,
90232,65,149236
60208,,
00006,33,100716
55443,,
40256,9,59100
50034,702,160731
20945,,
00359,,
66303,,
70213,,
50564,5,21000
66336,,
99370,,
44954,,
20098,226,3278376
50167,599,247720
40268,66,16513
20934,,
31018,,
30001,902,178281
80112,,
60168,,
55566,,
99443,,
50500,,
30185,33,61634
55404,,
10045,13,73941
31043,,
50219,,
00R03,,
30142,,
50384,,
41103,,
40239,16,86772
44989,,
50440,,
50452,,
00012,77,291247
70107,,
55418,,
41153,,
55560,,
50366,,
55376,,
55307,,
20126,90,187257
20122,468,1455245
00119,,
55357,,
44949,,
90062,163,430723
90247,8,83089
55523,,
50225,,
30042,70,48220
60232,,
30074,527,263867
00392,,
90306,1515,550660
55451,,
60002,,
22960,,
70091,,
44980,,
60206,800,184904
70257,,
40032,1207,590357
80204,149,426230
50179,418,170389
70019,30,79240
80185,,
60007,350,927285
90275,16,27897
20986,,
40180,14,119648
50246,,
80257,,
90144,40,236690
50158,12,66641
40015,61,143709
60099,49,129877
60193,,
55529,,
50268,,
40081,15,27293
40933,,
55342,,
90016,124,836630
A0019,,
40973,,
41134,,
60145,,
99423,39,224807
11146,,
60241,,
30053,13,17219
00408,,
70041,15,54445
50463,,
50054,27,84832
40953,,
80008,35,68224
50407,,
31036,5004,151638
90011,,
40197,62,30753
00433,,
41176,,
50025,91,119100
55512,,
80277,,
40910,,
00447,,
55631,,
70128,,
77090,,
41043,,
90287,22,64272
60246,358,546458
80183,,
60091,8455,570189
80274,,
50110,21,86987
44938,298,297811
91018,,
88284,,
55554,,
00053,388,21188
70140,,
50322,,
50549,22,57074
40137,45,180835
50388,,
40026,743,439566
60208,,
40215,633,238267
20206,285,1382283
00027,,
41007,,
40275,5,44784
41111,,
10102,171,448608
55312,1,12954
60208,,
60117,,
55352,,
55347,,
60101,147,539422
99477,,
50278,,
55246,,
50315,,
10133,460,530013
66194,,
55439,,
50428,,
10159,,
70074,35,76000
30092,448,172891
50286,,
08R06,,
88146,,
80139,,
60274,63,146593
99268,,
50495,,
60163,,
91119,,
20928,149,386046
55577,,
70013,51,108519
00045,7338,95356
60068,81,196100
50482,,
50163,683,183201
55416,,
88218,,
80148,,
50061,53,74746
55322,,
50435,,
00028,233,925708
50146,189,232298
99460,,
60024,61,275213
31014,,
10004,86,255876
90198,49,75691
20148,132,249175
55327,,
00085,,
41123,,
50345,,
40043,179,243800
50195,6,9282
00017,,
55423,,
90045,396,2265461
70271,2,11953
30099,9,28136
55565,,
50374,,
90300,2,16736
91111,,
60190,,
60236,,
00445,,
90260,10,96803
55528,,
50209,368,864447
90218,2100,1975619
40037,1702,1492191
77079,,
40141,298,361128
70199,,
91006,,
20076,450,1004457
22969,,
60006,234,772374
00339,,
90271,8,126496
60077,41,85627
80290,,
50250,,
80200,,
55671,,
50162,13,22510
70129,,
30127,,
50240,,
30198,73,94324
40210,,
50470,,
70204,,
40937,,
40019,267,369154
40092,105,135471
40165,27,38155
00368,,
11156,,
90239,152,45308
55606,,
50229,,
50184,45,90852
70092,,
50550,33,6893
50404,,
88302,,
80270,,
55615,,
A0015,,
40957,,
11239,394,210049
50019,20,51673
60198,,
80236,,
70003,95,186106
00460,,
50411,,
41129,,
44944,,
40978,,
90006,445,271352
80004,45,117116
